Way 1: 
255:{'tag': '0001000000000000000011', 'val': 1, 'data': 0}
Way 2: 
0:{'tag': '0000000001001101001100', 'val': 1, 'data': 0}
1:{'tag': '0001000000000010010010', 'val': 1, 'data': 0}
2:{'tag': '0001000000000010000000', 'val': 1, 'data': 0}
3:{'tag': '0001000000000010001100', 'val': 1, 'data': 0}
4:{'tag': '0000000001001101100110', 'val': 1, 'data': 0}
5:{'tag': '0111111111111111011011', 'val': 1, 'data': 0}
6:{'tag': '0000000001001101100110', 'val': 1, 'data': 0}
7:{'tag': '0001000000000010001100', 'val': 1, 'data': 0}
8:{'tag': '0000000001001101001011', 'val': 1, 'data': 0}
9:{'tag': '0001000000000010001100', 'val': 1, 'data': 0}
10:{'tag': '0000000001001101100110', 'val': 1, 'data': 0}
11:{'tag': '0001000000000010001100', 'val': 1, 'data': 0}
12:{'tag': '0000000001001101100110', 'val': 1, 'data': 0}
13:{'tag': '0001000000000001110111', 'val': 1, 'data': 0}
14:{'tag': '0000000001001101010000', 'val': 1, 'data': 0}
15:{'tag': '0001000000000010000000', 'val': 1, 'data': 0}
16:{'tag': '0000000001001101100110', 'val': 1, 'data': 0}
17:{'tag': '0001000000000010000000', 'val': 1, 'data': 0}
18:{'tag': '0000000001001101100110', 'val': 1, 'data': 0}
19:{'tag': '0001000000000010001100', 'val': 1, 'data': 0}
20:{'tag': '0000000001001101101010', 'val': 1, 'data': 0}
21:{'tag': '0001000000000001010110', 'val': 1, 'data': 0}
22:{'tag': '0000000001001101010000', 'val': 1, 'data': 0}
23:{'tag': '0111111111111111011011', 'val': 1, 'data': 0}
24:{'tag': '0000000001001101010000', 'val': 1, 'data': 0}
25:{'tag': '0111111111111111011011', 'val': 1, 'data': 0}
26:{'tag': '0000000001001101010000', 'val': 1, 'data': 0}
27:{'tag': '0111111111111111011011', 'val': 1, 'data': 0}
28:{'tag': '0000000001001101110100', 'val': 1, 'data': 0}
29:{'tag': '0001000000000000000100', 'val': 1, 'data': 0}
30:{'tag': '0000000001001101101001', 'val': 1, 'data': 0}
31:{'tag': '0001000000000000000100', 'val': 1, 'data': 0}
32:{'tag': '0000000001001101101010', 'val': 1, 'data': 0}
33:{'tag': '0001000000000001110111', 'val': 1, 'data': 0}
34:{'tag': '0000000001001101101001', 'val': 1, 'data': 0}
35:{'tag': '0111111111111111011011', 'val': 1, 'data': 0}
36:{'tag': '0000000001001101100110', 'val': 1, 'data': 0}
37:{'tag': '0001000000000001110111', 'val': 1, 'data': 0}
38:{'tag': '0000000001001101101010', 'val': 1, 'data': 0}
39:{'tag': '0001000000000001110111', 'val': 1, 'data': 0}
40:{'tag': '0000000001001101100110', 'val': 1, 'data': 0}
41:{'tag': '0111111111111111011011', 'val': 1, 'data': 0}
42:{'tag': '0000000001001101101010', 'val': 1, 'data': 0}
43:{'tag': '0001000000000001110110', 'val': 1, 'data': 0}
44:{'tag': '0000000001001101101010', 'val': 1, 'data': 0}
45:{'tag': '0001000000000001100001', 'val': 1, 'data': 0}
46:{'tag': '0000000001001101100110', 'val': 1, 'data': 0}
47:{'tag': '0111111111111111011011', 'val': 1, 'data': 0}
48:{'tag': '0000000001001101101001', 'val': 1, 'data': 0}
49:{'tag': '0001000000000001110111', 'val': 1, 'data': 0}
50:{'tag': '0000000001001101100110', 'val': 1, 'data': 0}
51:{'tag': '0001000000000001110111', 'val': 1, 'data': 0}
52:{'tag': '0000000001001101001011', 'val': 1, 'data': 0}
53:{'tag': '0001000000000001110111', 'val': 1, 'data': 0}
54:{'tag': '0000000001001101100110', 'val': 1, 'data': 0}
55:{'tag': '0001000000000000010110', 'val': 1, 'data': 0}
56:{'tag': '0000000001001101100110', 'val': 1, 'data': 0}
57:{'tag': '0001000000000000010110', 'val': 1, 'data': 0}
58:{'tag': '0000000001001101001100', 'val': 1, 'data': 0}
59:{'tag': '0001000000000000010110', 'val': 1, 'data': 0}
60:{'tag': '0000000001001101101010', 'val': 1, 'data': 0}
61:{'tag': '0001000000000001110111', 'val': 1, 'data': 0}
62:{'tag': '0000000001001101110100', 'val': 1, 'data': 0}
63:{'tag': '0001000000000001110011', 'val': 1, 'data': 0}
64:{'tag': '0000000001001101001100', 'val': 1, 'data': 0}
65:{'tag': '0001000000000001110111', 'val': 1, 'data': 0}
